staging_url,intended_production_url,object_type,object_id,title,slug,canonical,indexable_after_launch,sitemap_expected,notes
https://staging2.braveheartspublishing.com/blog/category/science-for-kids/,https://www.braveheartspublishing.com/blog/category/science-for-kids/,category,149,science for kids,science-for-kids,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/stem/,https://www.braveheartspublishing.com/blog/category/stem/,category,170,STEM,stem,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/summer-reading/,https://www.braveheartspublishing.com/blog/category/summer-reading/,category,78,Summer Reading,summer-reading,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/teacher-resources/,https://www.braveheartspublishing.com/blog/category/teacher-resources/,category,69,Teacher Resources,teacher-resources,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/category/the-mariana-trench/,https://www.braveheartspublishing.com/blog/category/the-mariana-trench/,category,179,The Mariana Trench,the-mariana-trench,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/uncategorized/,https://www.braveheartspublishing.com/blog/category/uncategorized/,category,1,Uncategorized,uncategorized,,no,review,count=13
https://staging2.braveheartspublishing.com/blog/tag/1st-grade-reading-level/,https://www.braveheartspublishing.com/blog/tag/1st-grade-reading-level/,post_tag,112,1st grade reading level,1st-grade-reading-level,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/2nd-grade-reading-level/,https://www.braveheartspublishing.com/blog/tag/2nd-grade-reading-level/,post_tag,113,2nd grade reading level,2nd-grade-reading-level,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/3rd-grade-reading-level/,https://www.braveheartspublishing.com/blog/tag/3rd-grade-reading-level/,post_tag,114,3rd grade reading level,3rd-grade-reading-level,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/7-year-old-books/,https://www.braveheartspublishing.com/blog/tag/7-year-old-books/,post_tag,47,7 year old books,7-year-old-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/adventure-books-for-kids/,https://www.braveheartspublishing.com/blog/tag/adventure-books-for-kids/,post_tag,44,adventure books for kids,adventure-books-for-kids,,no,review,count=4
https://staging2.braveheartspublishing.com/blog/tag/adventure-science-books/,https://www.braveheartspublishing.com/blog/tag/adventure-science-books/,post_tag,166,adventure science books,adventure-science-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/adventures-of-charlotte-and-henry/,https://www.braveheartspublishing.com/blog/tag/adventures-of-charlotte-and-henry/,post_tag,105,Adventures of Charlotte and Henry,adventures-of-charlotte-and-henry,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/tag/ages-6-9/,https://www.braveheartspublishing.com/blog/tag/ages-6-9/,post_tag,53,ages 6-9,ages-6-9,,no,review,count=6
https://staging2.braveheartspublishing.com/blog/tag/andrew-signore/,https://www.braveheartspublishing.com/blog/tag/andrew-signore/,post_tag,133,Andrew Signore,andrew-signore,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/best-books-for-7-year-olds/,https://www.braveheartspublishing.com/blog/tag/best-books-for-7-year-olds/,post_tag,34,best books for 7 year olds,best-books-for-7-year-olds,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/best-books-for-grades-1-3/,https://www.braveheartspublishing.com/blog/tag/best-books-for-grades-1-3/,post_tag,64,best books for grades 1-3,best-books-for-grades-1-3,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/best-kids-books/,https://www.braveheartspublishing.com/blog/tag/best-kids-books/,post_tag,46,best kids books,best-kids-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/best-read-aloud-books/,https://www.braveheartspublishing.com/blog/tag/best-read-aloud-books/,post_tag,120,best read aloud books,best-read-aloud-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/boise-idaho/,https://www.braveheartspublishing.com/blog/tag/boise-idaho/,post_tag,175,Boise Idaho,boise-idaho,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/book-for-kids-ages-6-9/,https://www.braveheartspublishing.com/blog/tag/book-for-kids-ages-6-9/,post_tag,38,book for kids ages 6-9,book-for-kids-ages-6-9,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-for-7-year-olds/,https://www.braveheartspublishing.com/blog/tag/books-for-7-year-olds/,post_tag,35,books for 7 year olds,books-for-7-year-olds,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/books-for-8-year-olds/,https://www.braveheartspublishing.com/blog/tag/books-for-8-year-olds/,post_tag,81,books for 8 year olds,books-for-8-year-olds,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-for-boys-ages-6-9/,https://www.braveheartspublishing.com/blog/tag/books-for-boys-ages-6-9/,post_tag,186,books for boys ages 6-9,books-for-boys-ages-6-9,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-for-first-graders/,https://www.braveheartspublishing.com/blog/tag/books-for-first-graders/,post_tag,41,books for first graders,books-for-first-graders,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-for-kids-ages-6-9/,https://www.braveheartspublishing.com/blog/tag/books-for-kids-ages-6-9/,post_tag,73,Books for kids ages 6-9,books-for-kids-ages-6-9,,no,review,count=6
https://staging2.braveheartspublishing.com/blog/tag/books-for-kids-who-love-science/,https://www.braveheartspublishing.com/blog/tag/books-for-kids-who-love-science/,post_tag,169,books for kids who love science,books-for-kids-who-love-science,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-for-reluctant-readers/,https://www.braveheartspublishing.com/blog/tag/books-for-reluctant-readers/,post_tag,76,books for reluctant readers,books-for-reluctant-readers,,no,review,count=2
